Wahl;Wahlsprengel;Wahlberechtigte;abgegebene Stimmen;gültige Stimmen;ÖVP;FPÖ;SPÖ;GRÜNE;NEOS;MFG;KPÖ;BESTE;UBB;R
"LT21";"545";662;424;412;117;65;85;81;22;30;10;2;0;0
"LT21";"546";673;387;375;97;54;107;56;24;21;13;3;0;0
"LT21";"560";517;345;335;98;52;76;55;8;34;8;2;2;0
"LT21";"561";549;367;362;95;69;81;68;14;18;15;2;0;0
"LT21";"562";704;502;485;138;53;106;119;31;26;11;1;0;0
"LT21";"563";638;426;407;104;70;79;96;25;23;9;0;1;0
"LT21";"564";505;314;306;67;60;92;43;21;17;5;1;0;0
"LT21";"580";578;421;404;106;50;91;110;16;23;6;1;1;0
"LT21";"581";655;375;362;68;85;118;50;12;17;10;2;0;0
"LT21";"582";576;438;428;105;52;123;82;35;27;3;0;1;0
"LT21";"583";529;351;345;71;51;61;109;29;17;7;0;0;0
"LT21";"599";433;357;350;113;32;52;114;21;15;3;0;0;0
"LT21";"601";595;455;451;135;40;86;129;33;20;6;0;2;0
"LT21";"602";572;420;413;84;44;87;132;34;21;9;1;1;0
"LT21";"603";548;401;396;101;39;79;126;25;16;9;0;1;0
"LT21";"604";541;366;362;96;24;49;122;27;20;22;2;0;0
"LT21";"605";572;419;409;132;42;74;111;20;22;8;0;0;0
"LT21";"620";475;347;343;138;30;33;93;31;14;4;0;0;0
"LT21";"621";744;576;570;150;40;97;199;50;27;7;0;0;0
"LT21";"640";651;491;484;177;41;85;94;45;28;13;0;0;1
"LT21";"641";711;518;508;166;74;100;106;29;24;7;1;1;0
"LT21";"642";638;460;442;142;65;110;70;27;20;7;0;1;0
"LT21";"643";651;492;478;144;60;107;102;38;16;10;0;0;1
"LT21";"660";669;501;485;153;49;104;111;41;21;5;0;0;1
"LT21";"661";763;553;533;184;62;98;116;35;24;9;2;2;1
"LT21";"662";588;456;444;201;53;54;82;33;18;2;0;1;0
"LT21";"663";679;509;498;162;57;111;112;35;16;5;0;0;0
"LT21";"664";760;557;540;153;69;155;95;28;25;10;4;1;0
"LT21";"666";678;510;496;128;53;116;132;34;22;9;1;0;1
"LT21";"667";738;522;508;158;75;121;81;32;29;11;0;0;1
"LT21";"668";678;503;500;141;63;94;133;40;17;9;1;1;1
"LT21";"680";514;385;379;125;37;69;96;28;17;6;1;0;0
"LT21";"681";720;492;478;153;48;118;100;29;17;9;4;0;0
